,latitude,longitude,total_number_of_crimes,theft,assault,robbery,burglary,homocide,other
194,38.88162241566865,-76.96679739336317,159.0,112.0,15.0,22.0,6.0,0.0,4.0
210,38.872624674101786,-76.94880191022942,162.0,120.0,11.0,16.0,11.0,0.0,4.0
216,38.872624674101786,-76.93980416866255,163.0,106.0,18.0,21.0,15.0,0.0,3.0
117,38.81863822470059,-77.01178610119753,163.0,120.0,19.0,16.0,6.0,0.0,2.0
53,38.935608865069845,-77.04777706746502,170.0,142.0,1.0,12.0,14.0,0.0,1.0
21,38.935608865069845,-77.07477029216564,172.0,155.0,3.0,1.0,11.0,0.0,2.0
147,38.935608865069845,-77.00278835963066,172.0,148.0,3.0,11.0,8.0,0.0,2.0
24,38.96260208977044,-77.07477029216564,176.0,162.0,3.0,5.0,6.0,0.0,0.0
148,38.94460660663671,-77.00278835963066,178.0,146.0,4.0,24.0,3.0,0.0,1.0
27,38.917613381936114,-77.06577255059877,180.0,151.0,2.0,3.0,24.0,0.0,0.0
19,38.917613381936114,-77.07477029216564,181.0,163.0,2.0,2.0,14.0,0.0,0.0
214,38.90861564036925,-76.94880191022942,187.0,145.0,12.0,19.0,5.0,0.0,6.0
202,38.872624674101786,-76.9577996517963,188.0,149.0,15.0,15.0,6.0,0.0,3.0
20,38.92661112350298,-77.07477029216564,194.0,175.0,3.0,2.0,12.0,0.0,2.0
227,38.89062015723552,-76.91281094396193,197.0,138.0,18.0,23.0,12.0,0.0,6.0
205,38.89961789880238,-76.9577996517963,201.0,153.0,18.0,21.0,4.0,0.0,5.0
119,38.836633707834324,-77.01178610119753,203.0,119.0,30.0,37.0,14.0,0.0,3.0
209,38.86362693253492,-76.94880191022942,205.0,159.0,13.0,21.0,10.0,0.0,2.0
196,38.89961789880238,-76.96679739336317,205.0,129.0,43.0,21.0,7.0,0.0,5.0
41,38.94460660663671,-77.0567748090319,208.0,188.0,0.0,5.0,12.0,0.0,3.0
164,38.94460660663671,-76.99379061806378,211.0,173.0,6.0,22.0,9.0,0.0,1.0
207,38.917613381936114,-76.9577996517963,212.0,193.0,6.0,9.0,3.0,0.0,1.0
39,38.92661112350298,-77.0567748090319,216.0,190.0,3.0,7.0,15.0,0.0,1.0
165,38.95360434820358,-76.99379061806378,218.0,193.0,6.0,13.0,5.0,0.0,1.0
31,38.95360434820358,-77.06577255059877,223.0,200.0,2.0,8.0,10.0,0.0,3.0
134,38.97159983133731,-77.01178610119753,225.0,196.0,9.0,9.0,8.0,0.0,3.0
40,38.935608865069845,-77.0567748090319,225.0,203.0,2.0,5.0,14.0,0.0,1.0
198,38.917613381936114,-76.96679739336317,227.0,173.0,17.0,27.0,9.0,0.0,1.0
166,38.836633707834324,-76.98479287649691,229.0,134.0,45.0,31.0,12.0,0.0,7.0
211,38.88162241566865,-76.94880191022942,230.0,159.0,32.0,25.0,8.0,0.0,6.0
189,38.935608865069845,-76.97579513493004,231.0,193.0,11.0,17.0,7.0,0.0,3.0
105,38.872624674101786,-77.0207838427644,233.0,189.0,15.0,18.0,8.0,0.0,3.0
30,38.94460660663671,-77.06577255059877,236.0,210.0,1.0,8.0,14.0,0.0,3.0
156,38.872624674101786,-76.99379061806378,239.0,181.0,13.0,20.0,20.0,0.0,5.0
16,38.94460660663671,-77.08376803373251,239.0,211.0,8.0,0.0,19.0,0.0,1.0
97,38.98059757290417,-77.02978158433127,239.0,221.0,3.0,7.0,8.0,0.0,0.0
129,38.92661112350298,-77.01178610119753,242.0,204.0,8.0,9.0,18.0,0.0,3.0
150,38.96260208977044,-77.00278835963066,243.0,217.0,5.0,13.0,6.0,0.0,2.0
183,38.88162241566865,-76.97579513493004,245.0,200.0,13.0,18.0,8.0,0.0,6.0
203,38.88162241566865,-76.9577996517963,246.0,156.0,37.0,36.0,9.0,0.0,8.0
71,38.94460660663671,-77.03877932589815,249.0,201.0,8.0,19.0,18.0,0.0,3.0
137,38.84563144940119,-77.00278835963066,258.0,128.0,49.0,52.0,20.0,0.0,9.0
22,38.94460660663671,-77.07477029216564,262.0,228.0,7.0,5.0,21.0,0.0,1.0
133,38.96260208977044,-77.01178610119753,274.0,238.0,7.0,19.0,9.0,0.0,1.0
151,38.82763596626746,-76.99379061806378,280.0,158.0,61.0,39.0,13.0,0.0,9.0
29,38.935608865069845,-77.06577255059877,282.0,254.0,1.0,3.0,20.0,0.0,4.0
224,38.90861564036925,-76.93080642709567,285.0,191.0,31.0,35.0,15.0,0.0,13.0
167,38.84563144940119,-76.98479287649691,290.0,187.0,45.0,25.0,22.0,0.0,11.0
208,38.92661112350298,-76.9577996517963,292.0,253.0,13.0,15.0,10.0,0.0,1.0
201,38.86362693253492,-76.9577996517963,293.0,243.0,11.0,22.0,17.0,0.0,0.0
23,38.95360434820358,-77.07477029216564,304.0,261.0,8.0,9.0,24.0,0.0,2.0
140,38.872624674101786,-77.00278835963066,306.0,249.0,21.0,21.0,13.0,0.0,2.0
149,38.95360434820358,-77.00278835963066,306.0,260.0,7.0,30.0,7.0,0.0,2.0
187,38.917613381936114,-76.97579513493004,308.0,234.0,21.0,30.0,19.0,0.0,4.0
131,38.94460660663671,-77.01178610119753,312.0,258.0,13.0,30.0,9.0,0.0,2.0
154,38.854629190968055,-76.99379061806378,312.0,190.0,44.0,45.0,20.0,0.0,13.0
199,38.92661112350298,-76.96679739336317,316.0,245.0,20.0,28.0,20.0,0.0,3.0
177,38.935608865069845,-76.98479287649691,316.0,254.0,12.0,32.0,15.0,0.0,3.0
118,38.82763596626746,-77.01178610119753,333.0,211.0,49.0,54.0,15.0,0.0,4.0
106,38.88162241566865,-77.0207838427644,336.0,282.0,18.0,23.0,11.0,0.0,2.0
179,38.84563144940119,-76.97579513493004,336.0,216.0,57.0,34.0,15.0,0.0,14.0
153,38.84563144940119,-76.99379061806378,337.0,168.0,69.0,58.0,27.0,0.0,15.0
220,38.90861564036925,-76.93980416866255,342.0,229.0,36.0,48.0,16.0,0.0,13.0
132,38.95360434820358,-77.01178610119753,343.0,277.0,11.0,36.0,16.0,0.0,3.0
188,38.92661112350298,-76.97579513493004,346.0,259.0,21.0,32.0,27.0,0.0,7.0
96,38.97159983133731,-77.02978158433127,350.0,298.0,8.0,30.0,9.0,0.0,5.0
163,38.935608865069845,-76.99379061806378,351.0,296.0,8.0,28.0,16.0,0.0,3.0
107,38.89062015723552,-77.0207838427644,353.0,301.0,7.0,12.0,27.0,0.0,6.0
146,38.92661112350298,-77.00278835963066,365.0,286.0,24.0,29.0,24.0,0.0,2.0
168,38.854629190968055,-76.98479287649691,378.0,258.0,47.0,38.0,24.0,0.0,11.0
217,38.88162241566865,-76.93980416866255,383.0,270.0,38.0,46.0,20.0,0.0,9.0
123,38.872624674101786,-77.01178610119753,385.0,293.0,38.0,31.0,18.0,0.0,5.0
180,38.854629190968055,-76.97579513493004,387.0,242.0,72.0,38.0,16.0,0.0,19.0
17,38.95360434820358,-77.08376803373251,388.0,331.0,8.0,10.0,38.0,0.0,1.0
155,38.86362693253492,-76.99379061806378,389.0,251.0,40.0,53.0,32.0,0.0,13.0
115,38.96260208977044,-77.0207838427644,392.0,329.0,17.0,26.0,10.0,0.0,10.0
136,38.836633707834324,-77.00278835963066,393.0,222.0,70.0,65.0,26.0,0.0,10.0
87,38.89062015723552,-77.02978158433127,402.0,351.0,11.0,9.0,30.0,0.0,1.0
193,38.872624674101786,-76.96679739336317,404.0,300.0,38.0,46.0,13.0,0.0,7.0
152,38.836633707834324,-76.99379061806378,404.0,220.0,73.0,73.0,27.0,0.0,11.0
226,38.89961789880238,-76.9218086855288,411.0,304.0,44.0,39.0,14.0,0.0,10.0
204,38.89062015723552,-76.9577996517963,416.0,275.0,60.0,53.0,13.0,0.0,15.0
116,38.97159983133731,-77.0207838427644,417.0,367.0,11.0,23.0,12.0,0.0,4.0
192,38.86362693253492,-76.96679739336317,432.0,318.0,40.0,38.0,24.0,0.0,12.0
124,38.88162241566865,-77.01178610119753,437.0,351.0,32.0,31.0,20.0,0.0,3.0
225,38.89062015723552,-76.9218086855288,438.0,308.0,45.0,56.0,15.0,0.0,14.0
182,38.872624674101786,-76.97579513493004,458.0,317.0,56.0,53.0,15.0,0.0,17.0
186,38.90861564036925,-76.97579513493004,464.0,326.0,62.0,42.0,26.0,0.0,8.0
176,38.92661112350298,-76.98479287649691,465.0,366.0,33.0,36.0,25.0,0.0,5.0
